sample,0,1,2,3,4,5,6,7,8,9
SAMPLE 157,-0.19877894,0.6903948,-0.09534205,0.18702538,-1.6277626,-0.30986518,0.80471545,-0.46589097,0.68611336,0.16008809
SAMPLE 158,0.23037557,0.9751845,0.06968211,0.04171619,-0.023398038,-0.20503423,0.27398306,-0.55608696,1.2773,0.8356749
SAMPLE 159,0.096601605,0.8132574,0.45814824,-0.25515908,0.009977745,0.17753121,0.24814796,-0.50086814,1.2057035,0.7566119
SAMPLE 160,0.31456593,1.0444762,0.5200535,-0.5195058,0.23828967,-0.14355108,0.26690498,-0.64212906,1.2845119,0.70487314
SAMPLE 161,0.2025144,0.99500304,0.1301402,0.1464464,-0.10743593,-0.24368285,0.24803007,-0.5580494,1.3849797,0.8359332
SAMPLE 162,0.09841388,0.9297617,0.16013975,0.14654087,0.019286126,-0.42056262,0.37951127,-0.4691731,1.4772761,0.8346217
SAMPLE 163,0.27590504,1.0112284,0.10883728,0.24851681,0.065655746,-0.26935372,0.19335347,-0.5907699,1.3082198,0.8413171
SAMPLE 164,0.22777471,0.9943563,0.042252168,0.112904646,0.04237078,-0.39168525,0.24275021,-0.538502,1.3006874,0.7874023
SAMPLE 165,0.16857418,0.86992353,0.55281556,-0.43072316,0.20128037,-0.20175861,0.29497617,-0.5017163,1.3487716,0.7320763
SAMPLE 166,0.13164003,0.8366119,0.52917707,-0.3642286,0.047063824,-0.04440042,0.20723319,-0.5062263,1.2924627,0.76342934
SAMPLE 167,0.27937096,1.0596764,0.1303743,0.12436481,-0.18657331,-0.28577158,0.25726843,-0.5994373,1.3261268,0.75827426
SAMPLE 168,0.21713513,0.94581115,-0.031082073,-0.12976809,0.011202678,-0.43012837,0.2437431,-0.563392,1.3419725,0.7693283
SAMPLE 169,0.09127904,0.88286066,-0.029817602,-0.15506804,-0.072492644,-0.33742568,0.21899079,-0.49434602,1.2785534,0.7393218
SAMPLE 170,0.2557332,0.95718837,0.41520593,-0.39955384,0.31617427,0.08405257,0.27988958,-0.5649511,1.0146531,0.76219356
SAMPLE 171,0.18657994,0.8488488,0.37582305,-0.42075008,0.41715422,0.039411955,0.17886868,-0.56628615,1.1095755,0.744982
SAMPLE 172,0.25697917,0.95941293,0.3968773,-0.47451088,0.4127058,0.097637564,0.11104772,-0.6231075,1.1099249,0.7254076
SAMPLE 173,-0.06592912,0.6174968,0.65701044,-0.27650478,-1.1738126,-0.33056393,0.4451302,-0.44761723,1.2565894,-0.009343209
SAMPLE 174,-0.14249876,0.55357337,0.5729769,-0.09788043,-1.1809186,-0.30940118,0.4277628,-0.3720829,1.2657976,-0.11015627
SAMPLE 175,0.45439297,0.4780826,0.397915,0.45494083,-0.68442684,-0.28923723,-0.21441616,-0.64751554,0.9490872,-0.18778802
SAMPLE 176,-0.30791232,0.25010347,-0.40708393,-0.69363505,-0.7075076,-0.05495352,-0.12657247,-0.16802612,0.94817287,-0.040211797
SAMPLE 177,-0.34317315,0.19852214,-0.2721537,-0.61784184,-0.74096537,-0.13835132,-0.16526434,-0.124521434,1.0756301,0.037560973
SAMPLE 178,-0.34654018,0.20206179,-0.29893276,-0.7203319,-0.70739084,-0.16139112,-0.14894107,-0.14580531,1.1028244,0.06043148
SAMPLE 179,0.29960278,1.100946,0.52273434,-0.11715173,-0.0015615199,0.037267372,0.005111825,-0.63029057,1.0263938,0.7577464
SAMPLE 180,0.27668098,1.0552795,0.46728396,-0.102591164,0.14733359,0.1308883,0.09794973,-0.6125035,0.99976695,0.68333703
SAMPLE 181,0.2583429,0.91042614,-0.12343999,-0.589743,-0.18916886,-0.20189571,0.024572745,-0.6014394,1.1900539,0.60438746
SAMPLE 182,0.25293216,0.93732715,-0.056597337,-0.23262209,-0.08584746,-0.20946647,0.12535249,-0.6046199,1.2301161,0.65667
SAMPLE 183,0.26863602,1.0003973,0.0984791,-0.3230837,-0.2577838,-0.18285958,-0.002769862,-0.63760227,1.392417,0.7155285
SAMPLE 184,0.28903225,0.94943744,-0.05517369,-0.36285296,-0.17288326,-0.13484167,0.055759415,-0.6049355,1.3139207,0.60676986
