sample,cluster,methylation_class
SAMPLE 305,4,"LGG, PA PF"
SAMPLE 306,4,"LGG, PA PF"
SAMPLE 307,4,"LGG, PA PF"
SAMPLE 308,4,"LGG, PA PF"
SAMPLE 309,4,"LGG, PA PF"
SAMPLE 310,4,"LGG, PA PF"
SAMPLE 311,4,"LGG, PA PF"
SAMPLE 312,4,"LGG, PA MID"
SAMPLE 313,4,"LGG, PA PF"
SAMPLE 314,4,"LGG, PA PF"
SAMPLE 315,4,"LGG, PA PF"
SAMPLE 316,4,"LGG, PA PF"
SAMPLE 317,4,"LGG, PA MID"
SAMPLE 318,4,"LGG, PA PF"
SAMPLE 319,4,"LGG, PA PF"
SAMPLE 320,4,"LGG, PA PF"
SAMPLE 321,4,"LGG, PA PF"
SAMPLE 322,4,"LGG, PA PF"
SAMPLE 323,4,"LGG, PA PF"
SAMPLE 324,4,"LGG, PA PF"
SAMPLE 325,4,"LGG, PA PF"
SAMPLE 326,4,"LGG, PA PF"
SAMPLE 327,4,"LGG, PA PF"
SAMPLE 328,4,"LGG, PA PF"
SAMPLE 329,11,"EPN, RELA"
SAMPLE 330,11,"EPN, RELA"
SAMPLE 331,11,"EPN, RELA"
SAMPLE 332,11,"EPN, RELA"
SAMPLE 333,11,"EPN, PF A"
SAMPLE 334,4,"SUBEPN, ST"
SAMPLE 335,11,"EPN, PF A"
SAMPLE 336,11,"HGNET, BCOR"
SAMPLE 337,7,"GBM, G34"
SAMPLE 338,11,"EPN, RELA"
SAMPLE 339,11,"EPN, RELA"
SAMPLE 340,11,"EPN, RELA"
SAMPLE 341,11,"EPN, RELA"
SAMPLE 342,4,"EPN, RELA"
SAMPLE 343,4,"SUBEPN, ST"
SAMPLE 344,11,"EPN, RELA"
SAMPLE 345,4,"SUBEPN, ST"
SAMPLE 346,6,"PTPR, B"
SAMPLE 347,11,"EPN, RELA"
SAMPLE 348,11,"EPN, RELA"
SAMPLE 349,11,"EPN, RELA"
SAMPLE 350,4,"EPN, YAP"
SAMPLE 351,11,"EPN, RELA"
SAMPLE 352,4,"SUBEPN, ST"
SAMPLE 353,11,"EPN, RELA"
SAMPLE 354,4,"SUBEPN, ST"
SAMPLE 355,11,"EPN, RELA"
SAMPLE 356,4,"LGG, MYB"
SAMPLE 357,11,"EPN, RELA"
SAMPLE 358,4,"EPN, YAP"
SAMPLE 359,11,"EPN, RELA"
SAMPLE 360,11,"EPN, RELA"
SAMPLE 361,11,"EPN, RELA"
SAMPLE 362,11,"EPN, RELA"
SAMPLE 363,11,"EPN, RELA"
SAMPLE 364,4,"LGG, PA PF"
SAMPLE 365,4,"LGG, PA PF"
